	XPS_UPS_18Jan2022/P3HT/BBL/grounded_Au_sub/1/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
2.96	17568	22628.43625
2.94	16791	22628.81601
2.92	15796	22629.19575
2.9	15099	22629.57547
2.88	14267	22629.95518
2.86	13484	22630.33487
2.84	12761	22630.71455
2.82	12155	22631.09421
2.8	11360	22631.47386
2.78	10957	22631.85349
2.76	10348	22632.23311
2.74	9850	22632.61271
2.72	9314	22632.99229
2.7	9004	22633.37186
2.68	8697	22633.75142
2.66	8267	22634.13096
2.64	8099	22634.51048
2.62	7866	22634.88999
2.6	7602	22635.26948
2.58	7358	22635.64896
2.56	7257	22636.02842
2.54	7042	22636.40787
2.52	7007	22636.7873
2.5	6845	22637.16671
2.48	6857	22637.54612
2.46	6841	22637.9255
2.44	6731	22638.30487
2.42	6556	22638.68422
2.4	6459	22639.06356
2.38	6556	22639.44289
2.36	6585	22639.82219
2.34	6523	22640.20149
2.32	6413	22640.58076
2.3	6557	22640.96003
2.28	6372	22641.33927
2.26	6490	22641.7185
2.24	6373	22642.09772
2.22	6296	22642.47692
2.2	6228	22642.8561
2.18	6268	22643.23527
2.16	6185	22643.61442
2.14	6240	22643.99356
2.12	6211	22644.37269
2.1	6162	22644.75179
2.08	6266	22645.13088
2.06	6277	22645.50996
2.04	6417	22645.88902
2.02	6377	22646.26807
2	6456	22646.6471
1.98	6322	22647.02611
1.96	6316	22647.40511
1.94	6228	22647.78409
1.92	6303	22648.16306
1.9	6299	22648.54202
1.88	6331	22648.92095
1.86	6410	22649.29988
1.84	6292	22649.67878
1.82	6333	22650.05767
1.8	6358	22650.43655
1.78	6415	22650.81541
1.76	6392	22651.19425
1.74	6407	22651.57308
1.72	6377	22651.9519
1.7	6272	22652.33069
1.68	6331	22652.70948
1.66	6258	22653.08824
1.64	6237	22653.467
1.62	6087	22653.84573
1.6	6271	22654.22445
1.58	6105	22654.60316
1.56	6134	22654.98185
1.54	6155	22655.36052
1.52	6190	22655.73918
1.5	6028	22656.11783
1.48	6066	22656.49645
1.46	5908	22656.87507
1.44	5785	22657.25366
1.42	5868	22657.63224
1.4	5721	22658.01081
1.38	5767	22658.38936
1.36	5751	22658.7679
1.34	5608	22659.14642
1.32	5544	22659.52492
1.3	5351	22659.90341
1.28	5271	22660.28188
1.26	5385	22660.66034
1.24	5145	22661.03878
1.22	5117	22661.41721
1.2	4986	22661.79562
1.18	4680	22662.17402
1.16	4602	22662.5524
1.14	4382	22662.93076
