	XPS_UPS_18Jan2022/P3HT/Au/1/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
3.14	37124	22625.01777
3.12	36150	22625.39766
3.1	35460	22625.77754
3.08	34659	22626.1574
3.06	33735	22626.53725
3.04	32578	22626.91708
3.02	31682	22627.2969
3	30498	22627.6767
2.98	29519	22628.05648
2.96	28284	22628.43625
2.94	27379	22628.81601
2.92	26599	22629.19575
2.9	25542	22629.57547
2.88	24537	22629.95518
2.86	23563	22630.33487
2.84	22721	22630.71455
2.82	21488	22631.09421
2.8	20592	22631.47386
2.78	19748	22631.85349
2.76	18698	22632.23311
2.74	17769	22632.61271
2.72	16939	22632.99229
2.7	16031	22633.37186
2.68	15022	22633.75142
2.66	14261	22634.13096
2.64	13467	22634.51048
2.62	12711	22634.88999
2.6	12157	22635.26948
2.58	11550	22635.64896
2.56	10850	22636.02842
2.54	10347	22636.40787
2.52	9964	22636.7873
2.5	9587	22637.16671
2.48	9237	22637.54612
2.46	8753	22637.9255
2.44	8554	22638.30487
2.42	8267	22638.68422
2.4	8116	22639.06356
2.38	7758	22639.44289
2.36	7626	22639.82219
2.34	7652	22640.20149
2.32	7483	22640.58076
2.3	7249	22640.96003
2.28	7231	22641.33927
2.26	7040	22641.7185
2.24	7027	22642.09772
2.22	7008	22642.47692
2.2	6939	22642.8561
2.18	6780	22643.23527
2.16	6811	22643.61442
2.14	6942	22643.99356
2.12	6879	22644.37269
2.1	6868	22644.75179
2.08	6865	22645.13088
2.06	6750	22645.50996
2.04	6601	22645.88902
2.02	6652	22646.26807
2	6859	22646.6471
1.98	6744	22647.02611
1.96	6688	22647.40511
1.94	6710	22647.78409
1.92	6705	22648.16306
1.9	6759	22648.54202
1.88	6850	22648.92095
1.86	6649	22649.29988
1.84	6664	22649.67878
1.82	6639	22650.05767
1.8	6626	22650.43655
1.78	6717	22650.81541
1.76	6739	22651.19425
1.74	6600	22651.57308
1.72	6826	22651.9519
1.7	6862	22652.33069
1.68	6802	22652.70948
