	XPS_UPS_18Jan2022/Au/Au/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
14.41	75756.66667	22408.5377
14.4	75003.33333	22408.73188
14.39	75240	22408.92606
14.38	74610	22409.12024
14.37	74653.33333	22409.31442
14.36	75290	22409.50859
14.35	74570	22409.70276
14.34	74243.33333	22409.89692
14.33	74056.66667	22410.09108
14.32	74660	22410.28524
14.31	73666.66667	22410.47939
14.3	74226.66667	22410.67354
14.29	74593.33333	22410.86769
14.28	74500	22411.06183
14.27	74190	22411.25597
14.26	74196.66667	22411.4501
14.25	73823.33333	22411.64423
14.24	73913.33333	22411.83836
14.23	73743.33333	22412.03248
14.22	73890	22412.2266
