	XPS_UPS_18Jan2022/BBL/Au/2/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
0.62	369	22672.7628
0.6	403	22673.14075
0.58	412	22673.51868
0.56	372	22673.89659
0.54	349	22674.27449
0.52	355	22674.65238
0.5	372	22675.03024
0.48	363	22675.4081
0.46	314	22675.78593
0.44	346	22676.16376
0.42	348	22676.54156
0.4	316	22676.91935
0.38	302	22677.29713
0.36	285	22677.67489
0.34	297	22678.05263
0.32	327	22678.43036
0.3	283	22678.80807
0.28	280	22679.18577
0.26	253	22679.56345
0.24	259	22679.94112
0.22	254	22680.31877
0.2	240	22680.6964
0.18	274	22681.07402
0.16	255	22681.45163
0.14	239	22681.82921
0.12	218	22682.20679
0.1	209	22682.58434
0.08	189	22682.96189
0.06	205	22683.33941
0.04	209	22683.71692
0.02	182	22684.09442
0	161	22684.4719
-0.02	173	22684.84936
-0.04	175	22685.22681
-0.06	147	22685.60424
-0.08	149	22685.98166
-0.1	188	22686.35906
-0.12	154	22686.73645
-0.14	143	22687.11382
-0.16	149	22687.49117
-0.18	143	22687.86851
-0.2	135	22688.24584
-0.22	150	22688.62314
-0.24	132	22689.00044
-0.26	137	22689.37771
-0.28	124	22689.75497
-0.3	143	22690.13222
-0.32	153	22690.50945
-0.34	120	22690.88667
-0.36	140	22691.26386
-0.38	134	22691.64105
-0.4	113	22692.01822
-0.42	104	22692.39537
-0.44	121	22692.77251
-0.46	121	22693.14963
-0.48	119	22693.52673
-0.5	108	22693.90382
-0.52	111	22694.2809
-0.54	112	22694.65796
-0.56	103	22695.035
-0.58	88	22695.41203
-0.6	94	22695.78904
-0.62	128	22696.16603
-0.64	116	22696.54302
-0.66	107	22696.91998
-0.68	105	22697.29693
-0.7	117	22697.67386
-0.72	114	22698.05078
-0.74	83	22698.42769
-0.76	100	22698.80457
-0.78	91	22699.18144
-0.8	106	22699.5583
-0.82	93	22699.93514
-0.84	92	22700.31197
-0.86	101	22700.68877
-0.88	94	22701.06557
-0.9	96	22701.44235
-0.92	101	22701.81911
-0.94	90	22702.19585
-0.96	104	22702.57259
-0.98	90	22702.9493
-1	95	22703.326
