	XPS_UPS_18Jan2022/BBL/Au/2/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
16.28	223880	22372.16049
16.27	225500	22372.35536
16.26	225240	22372.55022
16.25	225963.3333	22372.74509
16.24	228030	22372.93995
16.23	227826.6667	22373.1348
16.22	228863.3333	22373.32965
16.21	229146.6667	22373.5245
16.2	228850	22373.71935
16.19	231293.3333	22373.91419
16.18	231523.3333	22374.10903
16.17	233006.6667	22374.30386
16.16	231996.6667	22374.49869
16.15	232370	22374.69352
16.14	232380	22374.88834
16.13	233646.6667	22375.08316
16.12	235330	22375.27798
16.11	236036.6667	22375.47279
16.1	236340	22375.6676
16.09	236516.6667	22375.8624
16.08	237243.3333	22376.0572
16.07	237560	22376.252
16.06	237560	22376.44679
16.05	237816.6667	22376.64158
16.04	237673.3333	22376.83637
16.03	239383.3333	22377.03115
16.02	239200	22377.22593
16.01	239493.3333	22377.42071
16	241493.3333	22377.61548
15.99	240333.3333	22377.81025
15.98	239956.6667	22378.00501
15.97	239820	22378.19977
15.96	239980	22378.39453
15.95	239826.6667	22378.58928
15.94	240693.3333	22378.78403
15.93	241666.6667	22378.97878
15.92	242076.6667	22379.17352
15.91	243803.3333	22379.36826
15.9	243073.3333	22379.563
15.89	243523.3333	22379.75773
15.88	244166.6667	22379.95246
15.87	244803.3333	22380.14718
15.86	244726.6667	22380.3419
15.85	245443.3333	22380.53662
15.84	243966.6667	22380.73133
15.83	245236.6667	22380.92604
15.82	245053.3333	22381.12075
15.81	243973.3333	22381.31545
15.8	244886.6667	22381.51015
15.79	244856.6667	22381.70485
15.78	243766.6667	22381.89954
15.77	245883.3333	22382.09423
15.76	245946.6667	22382.28891
15.75	246126.6667	22382.48359
15.74	246963.3333	22382.67827
15.73	244966.6667	22382.87294
15.72	247203.3333	22383.06761
15.71	245936.6667	22383.26228
15.7	244576.6667	22383.45694
15.69	246550	22383.6516
15.68	246213.3333	22383.84625
15.67	245740	22384.04091
15.66	245153.3333	22384.23555
15.65	245583.3333	22384.4302
15.64	246066.6667	22384.62484
15.63	245793.3333	22384.81947
15.62	245376.6667	22385.01411
15.61	246820	22385.20874
15.6	245290	22385.40336
15.59	246873.3333	22385.59799
15.58	245163.3333	22385.7926
15.57	245683.3333	22385.98722
15.56	245236.6667	22386.18183
15.55	244690	22386.37644
15.54	245863.3333	22386.57104
15.53	243500	22386.76564
15.52	243973.3333	22386.96024
15.51	243806.6667	22387.15483
15.5	244030	22387.34942
15.49	244483.3333	22387.54401
15.48	242883.3333	22387.73859
15.47	243740	22387.93317
15.46	242736.6667	22388.12774
15.45	241873.3333	22388.32231
15.44	240206.6667	22388.51688
15.43	240406.6667	22388.71144
15.42	241846.6667	22388.906
15.41	240830	22389.10056
15.4	239393.3333	22389.29511
15.39	239820	22389.48966
15.38	239493.3333	22389.68421
15.37	238730	22389.87875
15.36	236870	22390.07329
15.35	236563.3333	22390.26782
15.34	236480	22390.46235
15.33	235993.3333	22390.65688
15.32	235436.6667	22390.8514
15.31	234220	22391.04592
15.3	234793.3333	22391.24044
15.29	233786.6667	22391.43495
15.28	234193.3333	22391.62946
15.27	232643.3333	22391.82396
15.26	231970	22392.01847
15.25	231973.3333	22392.21296
15.24	231666.6667	22392.40746
15.23	230210	22392.60195
15.22	228800	22392.79644
15.21	229406.6667	22392.99092
15.2	228053.3333	22393.1854
15.19	226570	22393.37987
15.18	226303.3333	22393.57435
15.17	225743.3333	22393.76881
15.16	224723.3333	22393.96328
15.15	223663.3333	22394.15774
