	XPS_UPS_18Jan2022/P3HT/Au/1/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
14.42	241933.3333	22408.34351
14.41	240220	22408.5377
14.4	237693.3333	22408.73188
14.39	237976.6667	22408.92606
14.38	238270	22409.12024
14.37	237313.3333	22409.31442
14.36	235246.6667	22409.50859
14.35	234420	22409.70276
14.34	234580	22409.89692
14.33	233620	22410.09108
14.32	232376.6667	22410.28524
14.31	231686.6667	22410.47939
14.3	230443.3333	22410.67354
14.29	230306.6667	22410.86769
14.28	228433.3333	22411.06183
14.27	227283.3333	22411.25597
14.26	227863.3333	22411.4501
14.25	226016.6667	22411.64423
14.24	222926.6667	22411.83836
14.23	224566.6667	22412.03248
14.22	222683.3333	22412.2266
